v1,v2,v3,v4
17,76.5,64.7,Municipal - DAEM
40,75,55,Municipal - DAEM
106,88.7,71.7,Municipal - DAEM
196,82.1,64.3,Municipal - DAEM
90,83.3,63.3,Municipal - DAEM
2,50,50,Municipal - DAEM
6,83.3,50,Municipal - DAEM
68,83.8,66.2,Municipal - DAEM
3,100,0,Municipal - DAEM
2,100,50,Municipal - DAEM
39,97.4,66.7,Municipal - DAEM
33,69.7,39.4,Municipal - DAEM
4,100,25,Municipal - DAEM
9,88.9,77.8,Municipal - DAEM
142,83.1,52.1,Municipal - DAEM
28,85.7,42.9,Particular Subvencionado
252,79.8,63.1,Particular Subvencionado
